Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Potential,Ecuador,Fundacion CRISFE (EmprendeFe Program),Idea,"Entrepreneur Support Org, NGO, Corporate",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://emprendimiento.ec/apoyo/emprendefe/,Entrepreneurship and financial inclusion foundation tied to Banco Pichincha. EmprendeFe and related initiatives support vulnerable entrepreneurs and increasingly urban/peri-urban enterprise ecosystems.,"Quito, Guayaquil, Cuenca",High,4,4,4,4,4
Potential,Ecuador,Heifer Ecuador,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://www.heifer.org/our-work/where-we-work/ecuador,"Historically rural and agriculture-focused, but increasingly expanding into urban and peri-urban food systems, entrepreneurship, and market-access programming. Strong mentoring complementarity.","Quito, Cuenca, peri-urban food systems corridors",Medium,4,4,4,4,3
Potential,Ecuador,WWB Ecuador,Idea,"Women-Focused, Fintech",3 - Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),4 - International,https://www.womensworldbanking.org/where-we-work/latin-america/,"Strong ecosystem-level alignment around women’s financial inclusion and entrepreneurship, though operates primarily through partner institutions rather than direct entrepreneur implementation in Ecuador.","Quito, Guayaquil (through partner institutions)",Medium,3,2,3,2,4
Potential,Ecuador,Junior Achievement Ecuador,Idea,"NGO, Education",3 - Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://jae.org.ec/,"Strong urban youth entrepreneurship and employability focus, though beneficiaries are often aspiring entrepreneurs rather than active microentrepreneurs.","Quito, Guayaquil, Cuenca",High,3,3,3,3,4
Potential,Ecuador,Fundación Acción Solidaria,Idea,"NGO, Entrepreneur Support Org, Women-Focused",4 - Very Good Fit,5 – Highly Urban-Focused,3 - Good (200-499),3 - National,https://fasolidaria.org/,"Strong urban focus in Guayaquil and Quito supporting women entrepreneurs, migrant livelihoods, and vulnerable microenterprises through economic inclusion programming.","Guayaquil, Quito",High,4,3,4,3,5
Potential,Ecuador,INSOTEC,Idea,"NGO, MFI",4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.insotec.ec/,"Strong microenterprise and poverty alleviation focus. Historically rural and agriculture-centered, but increasingly relevant to peri-urban and broader productive enterprise ecosystems.","Quito, Ambato, Riobamba",Medium,4,4,4,4,3
Potential,Ecuador,CONQUITO (Agencia de Promoción Económica),Idea,"Government, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",1 - Local,https://www.conquito.org.ec/,Municipal economic development agency with strong urban and peri-urban entrepreneurship programming through AGRUPAR and related initiatives. Excellent urban entrepreneur density.,Quito and peri-urban Quito districts,High,4,5,4,5,5
Potential,Ecuador,FUDELA (Fundación de las Américas),Idea,"NGO, Education",3 - Good Fit,4 – Strong Urban Presence,3 - Good (200-499),3 - National,https://fudela.org.ec/,"Youth development and employability organization with entrepreneurship overlap. Strong urban presence, though microenterprise focus is more indirect.","Quito, Guayaquil, Cuenca",Medium,3,3,3,3,4
Potential,Ecuador,Banco Solidario,Idea,MFI,5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.banco-solidario.com/,"One of Ecuador’s strongest microenterprise and inclusive finance institutions. Extensive work with women entrepreneurs, migrants, and vulnerable urban/peri-urban microentrepreneurs.","Quito, Guayaquil, Cuenca, Santo Domingo",High,5,5,5,5,5
Potential,Ecuador,CREDIFE Desarrollo Microempresarial (through Banco Pichincha),Idea,"MFI, Corporate",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.pichincha.com/,"Dedicated microenterprise arm of Banco Pichincha with extensive outreach to urban and peri-urban microentrepreneurs, women-led businesses, and underserved entrepreneurs. Strong mentoring complementarity and pipeline access.","Quito, Guayaquil, Cuenca, Santo Domingo, Durán",High,5,5,5,5,5
Potential,South Africa,Small Enterprise Development & Finance Agency (SEDFA),Idea,"Government, MFI",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.sedfa.org.za/,"Government small business agency formed through the 2024 merger of SEFA, SEDA, and CBDA. Combines financing, enterprise development, mentorship, and cooperative support with strong focus on township, informal, women-, and youth-owned businesses.","Johannesburg, Pretoria, Cape Town, Durban, Soweto, township business corridors nationally",High,5,5,5,5,5
Potential,South Africa,RLabs,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",4 - International,https://rlabs.org/about/,"Social innovation organization supporting entrepreneurship, digital inclusion, and youth empowerment in underserved urban and township communities through mentorship and incubation.","Cape Town, Johannesburg, Durban, township communities",High,4,5,4,5,5
Potential,South Africa,National Youth Development Agency (NYDA),Idea,"Government, Education, NGO",3 - Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.nyda.gov.za/About-Us/What-is-NYDA.html,"Government youth development agency supporting entrepreneurship, employability, and youth enterprise development nationwide. Strong urban and township relevance, though many beneficiaries are aspiring entrepreneurs rather than active microentrepreneurs.","Johannesburg, Pretoria, Cape Town, Durban, Soweto, Eastern Cape urban centers",High,3,5,3,5,5
Potential,South Africa,Women's Development Businesses (WDB Trust),Idea,"MFI, Women-Focused",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.wdbtrust.org.za/the-history-of-wdb/,"Women-focused microfinance organization supporting vulnerable women entrepreneurs through lending, savings groups, and enterprise development. Historically rural-focused but increasingly relevant in peri-urban communities.","Johannesburg peri-urban communities, Limpopo urban corridors, Durban outskirts",Medium,5,4,5,4,3
Potential,South Africa,Small Enterprise Foundation (SEF),Idea,"MFI, NGO",5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.sef.co.za/about/,Leading microfinance NGO focused on poverty alleviation and women’s economic empowerment through group lending and enterprise support. Strong engagement with vulnerable microentrepreneurs.,"Johannesburg peri-urban townships, Limpopo urbanizing communities",Medium,5,5,5,5,3
Potential,South Africa,Taking Care of Business (TCB),Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),2 - Regional,https://www.tcb.org.za/,"Urban-focused nonprofit supporting vulnerable entrepreneurs and informal businesses through livelihood development, entrepreneurship support, and economic inclusion programming.","Johannesburg, Soweto, Alexandra Township",High,5,4,5,4,5
Potential,South Africa,Ranyaka Community Transformation,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,3 - Good (200-499),2 - Regional,https://ranyaka.co.za/,"Township economic development organization focused on local entrepreneurship, place-based development, and economic activation in underserved township and urban communities","Johannesburg townships, Rustenburg, local township economic corridors",High,4,3,4,3,5
Potential,South Africa,Diakonia Council of Churches,Idea,"Faith-Based, NGO",3 - Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://www.diakonia.org.za/diakonia-community/,Faith-based community development organization working in vulnerable urban communities with some overlap in livelihoods and economic empowerment programming.,"Durban, eThekwini urban communities",Medium,3,2,3,2,4
Potential,South Africa,SAB Foundation,Idea,"Corporate, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://www.sabfoundation.co.za/,"Corporate foundation supporting inclusive entrepreneurship, social innovation, and small business development through grants, incubation, and mentorship.","Johannesburg, Cape Town, Durban, township entrepreneur ecosystems nationally",High,4,4,4,4,5
Potential,South Africa,Isivande Women's Fund (IWF),Idea,"Government, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://www.gov.za/services/services-organisations/business-incentives/isivande-womens-fund,"Women-focused enterprise finance initiative supporting underserved women-owned businesses, cooperatives, and microenterprises through funding and business support. Strong township and urban relevance.","Johannesburg, Pretoria, Durban, township enterprise corridors",High,5,4,5,4,4
Potential,South Africa,National Empowerment Fund,Idea,"Government, MFI",4 - Very Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.nefcorp.co.za/,"Development finance institution supporting Black-owned businesses, entrepreneurship, and SME growth. Strong urban and township relevance, though more SME-focused than traditional microfinance.","Johannesburg, Pretoria, Cape Town, Durban",High,4,5,4,5,5
Potential,South Africa,Afrika Tikkun,Idea,"NGO, Education",3 - Good Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://afrikatikkun.org/,"Youth development nonprofit working in underserved urban and township communities through education, employability, entrepreneurship, and economic empowerment programming.","Johannesburg, Orange Farm, Alexandra Township, Durban",High,3,4,3,4,5
Potential,South Africa,Technoserve South Africa,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://www.technoserve.org/fight-poverty/where-we-work/south-africa/,"Enterprise development nonprofit increasingly engaged in urban and peri-urban entrepreneurship, youth employment, and small business support. Strong mentoring complementarity.","Johannesburg, Cape Town, Durban",Medium,4,4,4,4,4
Potential,South Africa,Junior Achievement South Africa,Idea,"NGO, Education",3 - Good Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),4 - International,https://www.jasouthafrica.org/,"Youth entrepreneurship nonprofit serving students and unemployed youth through entrepreneurship education, financial literacy, and enterprise development in underserved urban communities.","Johannesburg, Cape Town, Durban, Pretoria",High,3,4,3,4,5
Potential,South Africa,Harambee Youth Employment Accelerator ,Idea,"NGO, Education",3 - Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.harambee.co.za/,"Youth employment nonprofit focused on workforce readiness and job placement, while increasingly engaging with self-employment, side hustles, and township entrepreneurship ecosystems.","Johannesburg, Cape Town, Durban, Pretoria, township economies nationally",High,3,5,3,5,5
Potential,South Africa,Siyabonga Africa,Idea,"NGO, Faith-Based",3 - Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://siyabongaafrica.org.za/,"Community development organization supporting vulnerable populations through livelihoods, education, and empowerment initiatives with some overlap in entrepreneurship support.","Durban, peri-urban KwaZulu-Natal communities",Low,3,2,3,2,3
Potential,South Africa,EntreprenHER (formerly AWOME),Idea,"Entrepreneur Support Org, Women-Focused",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),4 - International,https://www.unwomen.org/en/news-stories/feature-story/2024/02/entreprenher-programme-empowers-women-entrepreneurs-in-botswana-namibia-and-south-africa,"UN Women-supported initiative focused on women-owned microenterprises through entrepreneurship training, mentorship, access to finance, and market linkages. Strong urban and township relevance.","Johannesburg, Cape Town, Durban",High,5,4,5,4,5
Potential,Brazil,Aliança Empreendedora,Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://aliancaempreendedora.org.br/,"Entrepreneurship nonprofit focused on low-income and informal entrepreneurs through business training, mentorship, digital inclusion, and economic empowerment programming. Strong urban and peri-urban relevance with deep engagement in vulnerable entrepreneur ecosystems.","São Paulo, Rio de Janeiro, Curitiba, Recife, Salvador",High,5,5,5,5,5
Potential,Brazil,Crediamigo / Banco do Nordeste,Idea,"Government, MFI",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://www.bnb.gov.br/crediamigo,One of Latin America’s largest productive-oriented microcredit programs supporting vulnerable microentrepreneurs through low-barrier lending and business support. Strong engagement with informal and low-income entrepreneurs in urban and peri-urban communities.,"Fortaleza, Recife, Salvador, João Pessoa, Natal",High,5,5,5,5,4
Potential,Brazil,Central Única das Favelas (CUFA),Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://cufa.org.br/,"Major favela-based organization supporting urban entrepreneurs, informal businesses, and community economic development across Brazilian favelas. Strong focus on entrepreneurship, financial inclusion, and economic empowerment in underserved urban communities.","Rio de Janeiro, São Paulo, Salvador, Belo Horizonte, Fortaleza, favela communities nationally",High,5,5,5,5,5
Potential,Brazil,Rede Mulher Empreendedora (RME),Idea,"NGO, Women-Focused",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://rme.net.br/cursos-e-programas/?gad_source=1&gad_campaignid=20787284080&gbraid=0AAAAAqAw635H0JydVfE3xxgmSTpBIkYXp&gclid=Cj0KCQjwiJvQBhCYARIsAMjts3JkcZGHM115x1YMxpAoL4wKBl9pEzcZ9PH7kKuSZZpAvCHotpRycEsaAstXEALw_wcB,"Women-focused entrepreneurship network supporting women-owned micro and small businesses through mentorship, business training, digital inclusion, and access to markets. Strong urban entrepreneur relevance and large-scale women entrepreneur ecosystem.","São Paulo, Rio de Janeiro, Belo Horizonte, Porto Alegre",High,5,5,5,5,5
Potential,Brazil,Sebrae,Idea,"Entrepreneur Support Org, Government",4 - Very Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://sebrae.com.br/,"National small business support institution providing entrepreneurship training, business advisory services, mentorship, and SME support. Large-scale reach with strong urban entrepreneur relevance, though often more formalized SME-focused than traditional microfinance organizations.","São Paulo, Rio de Janeiro, Belo Horizonte, Salvador, Recife, Brasília",High,4,5,4,5,4
Potential,Brazil,VivaCred / Viva Rio ecosystem,Idea,"NGO, MFI",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://vivario.org.br/en/,"Urban microcredit and community development ecosystem supporting vulnerable entrepreneurs and informal businesses in underserved communities, particularly in Rio de Janeiro favelas. Strong financial inclusion and livelihoods orientation.",Rio de Janeiro favela communities,High,5,4,5,4,5
Potential,Brazil,Imembuí Microfinanças,Idea,"NGO, MFI",5 - Excellent Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),2 - Regional,https://imembuimicrofinancas.org/,Regional microfinance institution supporting vulnerable entrepreneurs and small businesses through productive-oriented lending and financial inclusion services. Mixed urban and rural relevance.,"Santa Maria, Porto Alegre, regional southern urban corridors",Medium,5,3,5,3,3
Potential,Brazil,Caritas Brasileira,Idea,"Faith-Based, INGO",3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://caritas.org.br/,"Faith-based social development organization supporting vulnerable communities through livelihoods, solidarity economy initiatives, and community economic development. Entrepreneurship support exists but is often indirect and community-based.","São Paulo, Rio de Janeiro, Recife, Salvador (through diocesan/community networks)",Medium,3,3,3,3,3
Potential,Brazil,Instituto Banco Palmas,Idea,"MFI, NGO",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://bancopalmas.com/,"Community development banking institution focused on financial inclusion, solidarity economy initiatives, and microenterprise support in low-income urban communities. Strong favela and informal economy relevance with high mentoring complementarity.","Fortaleza (Conjunto Palmeiras), additional favela/community banking ecosystems nationally",High,5,4,5,4,5
Potential,Brazil,Gerando Falcões,Idea,NGO,4 - Very Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.gerandofalcoes.com/,"Favela-focused nonprofit supporting economic mobility, entrepreneurship, and livelihoods development in underserved urban communities. Strong engagement with vulnerable youth and community-based entrepreneurs.","São Paulo metro favelas, Rio de Janeiro, national favela partner network",High,4,5,4,5,5
Potential,Brazil,Banco do Povo Paulista,Idea,"Government, MFI",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",2 - Regional,https://www.desenvolvimentoeconomico.sp.gov.br/DesenvolvimentoEconomico/institucional/Programas/banco_do_povo,"São Paulo state-supported productive microcredit program serving vulnerable entrepreneurs, informal workers, and small businesses through low-barrier lending and enterprise support. Strong urban and peri-urban relevance.","São Paulo city, Campinas, Santos, São Bernardo do Campo",High,5,5,5,5,4
Potential,Brazil,CEAPE Brasil,Idea,"MFI, NGO",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://ceapebrasil.org.br/,"Longstanding microfinance organization focused on productive-oriented microcredit for vulnerable and informal entrepreneurs. Strong engagement with low-income urban and peri-urban microbusinesses including retail, beauty, food, and service-sector entrepreneurs.","Salvador, Recife, Fortaleza, Belo Horizonte",High,5,5,5,5,4
Potential,Brazil,Instituto Besouro,Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://agenciabesouro.com.br/,"Entrepreneurship and workforce development nonprofit supporting low-income entrepreneurs through business training, mentorship, and enterprise development programming in underserved urban communities.","Porto Alegre, São Paulo, Rio de Janeiro, Recife",High,5,4,5,4,5
Potential,Brazil,Gastromotiva,Idea,"NGO, Education",4 - Very Good Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),4 - International,http://gastromotiva.org/,"Social entrepreneurship organization focused on food-sector livelihoods, workforce development, and entrepreneurship opportunities for vulnerable populations in urban and favela communities.","Rio de Janeiro, São Paulo, Salvador",High,4,4,4,4,5
Potential,Brazil,Instituto Feira Preta,Idea,"Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://feirapreta.com.br/,"Black entrepreneurship and creative-economy organization supporting urban entrepreneurs through incubation, mentorship, training, and market access. Strong engagement with Black-owned micro and small businesses in underserved urban communities.","São Paulo, Rio de Janeiro, Salvador",High,5,4,5,4,5
Potential,Brazil,Acreditar,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),2 - Regional,https://acreditar.org.br/,"Community development and livelihoods organization supporting entrepreneurship, income generation, and economic inclusion initiatives for vulnerable populations. Mixed urban and rural relevance.","Recife, northeastern peri-urban development corridors",Medium,4,3,4,3,3
Potential,Brazil,NESsT (Racial Equity Entrepreneurship Initiative),Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://www.nesst.org/racial-equity-initiative,"International enterprise development organization supporting inclusive entrepreneurship and social enterprises through incubation, mentorship, and investment readiness support. Works with underserved entrepreneurs and racial equity initiatives in Brazil.","São Paulo, Rio de Janeiro",Medium,4,3,4,3,4
Potential,Brazil,PNMPO (National Program for Productive-Oriented Microcredit),Idea,"MFI, Government",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/emprego-e-renda/pnmpo,National public microcredit ecosystem supporting low-income entrepreneurs through productive-oriented microcredit delivered via participating institutions. Strong focus on vulnerable urban and peri-urban entrepreneurs and informal businesses at very large scale.,"São Paulo, Rio de Janeiro, Salvador, Recife, Fortaleza, Belo Horizonte",Medium,5,5,5,5,4
Potential,Brazil,Flourish FI (In partnership with the Mastercard Foundation),Idea,"Fintech, Entrepreneur Support Org",3 - Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://www.flourishfi.com/about,"Financial inclusion initiative focused on improving access to financial tools, digital inclusion, and economic resilience for underserved entrepreneurs and low-income communities through fintech and ecosystem partnerships.","São Paulo, Rio de Janeiro (through ecosystem",Low,3,3,3,3,4
Potential,Brazil,Banco G10 Favelas,Idea,"MFI, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://g10favelas.com.br/,"Favela-based banking and entrepreneurship ecosystem supporting urban microentrepreneurs, informal businesses, and low-income entrepreneurs through financial inclusion, digital banking, business training, and community economic development initiatives.","São Paulo favela communities, Rio de Janeiro, national favela ecosystems",High,5,5,5,5,5
Potential,Brazil,Santander's Programa Prospera,Idea,"Corporate, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://www.santander.com/en/stories/prospera-programme-for-a-more-inclusive-society,"Corporate entrepreneurship initiative supporting underserved entrepreneurs and small businesses through mentorship, business development, and financial inclusion programming. More growth-oriented than traditional subsistence microfinance but still strongly relevant to urban entrepreneur ecosystems.","São Paulo, Rio de Janeiro, Belo Horizonte, Porto Alegre",Medium,4,4,4,4,4
