Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Tier 1,Kenya,Inkomoko,Idea,"Entrepreneur Support Org, NGO",4 - Very Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://www.inkomoko.com/,High-quality pipeline of refugee + host community entrepreneurs. Already screens and supports business owners (great pre-filtering),"Nairobi, Kakuma",High,4,5,4,5,4.0
Tier 1,Kenya,Somo Africa,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://www.somoafrica.org/,Deep Presence in Nairobi Informal Settlements. Entrepreneurs already engaged in training + capital,"Nairobi (Kibera, Mathare)",High,4,3,4,3,4.0
Tier 1,Kenya,SHOFCO,Idea,NGO,4 - Very Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",2 - Regional,https://www.shofco.org/,"Massive footprint in Kibera, Mathare, etc. Includes SACCO + livelihoods -> strong, trusted community pipeline","Nairobi (Kibera, Mathare, Mukuru)",High,4,5,4,5,5.0
Tier 1,Kenya,Kenya Women Microfinance Bank,Idea,"Women-Focused, MFI",4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://kwftbank.com/,One of the largest women-focused MFIs in Kenya. Huge base of urban microentrepreneurs,"Nairobi, Mombasa, Kisumu, Nakuru, Eldoret",High,4,5,4,5,3.0
Tier 1,Kenya,Faulu Microfinance Bank,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.faulukenya.com/,One of the oldest/largest MFIs. Strong MSME portfolio in Nairobi,"Nairobi, Mombasa, Kisumu, Nakuru",High,4,5,4,5,3.0
Tier 1,Kenya,Rafiki Microfinance Bank,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),3 - National,https://rafikibank.co.ke/,Strong SME/microenterprise lending + merchant tools,"Nairobi, Mombasa, Nakuru",Medium,4,3,4,3,3.0
Tier 1,Kenya,SMEP Microfinance Bank,Idea,"MFI, Faith-Based",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),3 - National,https://www.smep.co.ke/,"Faith-based, community-oriented borrower base","Nairobi, Kiambu peri-urban corridor, Nakuru",Medium,4,3,4,3,3.0
Tier 1,Kenya,Caritas Microfinance Bank,Idea,"MFI, Faith-Based",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),3 - National,https://caritas-mfb.co.ke/,Smaller than above but high alignment with early-stage businesses,"Nairobi, peri-urban Nairobi parish networks",Medium,4,3,4,3,3.0
Tier 1,Kenya,KCB Foundation (2Jiajiri),Idea,"Corporate, Entrepreneur Support Org",3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://foundation.kcbgroup.com/programs/2jiajiri/,Thousands of youth trained annually in business + skills. Strong post-training entrepreneur pipeline,"Nairobi, Mombasa, Kisumu, Nakuru",Medium,3,5,3,5,3.0
Tier 1,Kenya,Equity Group Foundation,Idea,Corporate,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://equitygroupfoundation.com/,One of the largest foundations in Africa. Massive SME + financial inclusion reach (via Equity Bank),"Nairobi, Mombasa, Kisumu, Nakuru, Eldoret",Medium,3,5,3,5,3.0
Tier 1,Kenya,"Mastercard Foundation (Kenya programs, MESH Program)",Idea,Corporate,3 - Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://mastercardfdn.org/en/where-we-work/kenya/,Funds multiple youth entrepreneurship pipelines in Nairobi. Indirect but high-volume partner of partners,Nairobi,Medium,3,5,3,5,4.0
Tier 1,Kenya,Micro and Small Enterprises Authority (MSEA / NYOTA),Idea,Government,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://msea.go.ke/nyotaproject/,National SME platform -> large-scale pipeline,"Nairobi, Mombasa, Kisumu, Nakuru",Medium,3,5,3,5,3.0
Tier 1,Kenya,Youth Enterprise Development Fund,Idea,Government,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.youthfund.go.ke/,Large base of youth-owned businesses,"Nairobi, Mombasa, Kisumu",Medium,3,5,3,5,3.0
Tier 1,Kenya,Uwezo Fund,Idea,"NGO, Women-Focused",3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.uwezo.go.ke/,Targets women/youth entrepreneurs (group lending model),"Nairobi, Kisumu, Mombasa",Medium,3,5,3,5,3.0
Tier 1,Kenya,Cherie Blair Foundation for Women,Idea,"NGO, Women-Focused",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://cherieblairfoundation.org/,Large digital pipeline of women entrepreneurs in Kenya,Nairobi,High,4,3,4,3,4.0
Tier 1,Kenya,Kenya Union of Savings and Credit Cooperatives,Idea,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://kuscco.com/,Umbrella for SACCOs -> massive reach if you partner centrally,"Nairobi, Mombasa, Kisumu",Medium,3,5,3,5,3.0
Tier 1,Kenya,ROSE Women’s Foundation,Idea,"NGO, Women-Focused",4 - Very Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),1 - Local,https://www.rosewomensfoundation.org/,"Women-focused NGO providing business training, financial literacy, and entrepreneurship support in Nairobi informal settlements. Strong alignment with early-stage women entrepreneurs but limited scale.",Nairobi informal settlements,High,4,2,4,2,4.0
Tier 1,Kenya,Mukuru Slums Development Projects,Idea,NGO,4 - Very Good Fit,5 – Highly Urban-Focused,2 - Fair (50-199),1 - Local,https://www.mukuruprojects.org/,"Community-based organization in Mukuru focused on livelihoods, savings groups, and microenterprise support. Deep trust and access in one of Nairobi’s largest informal settlements, but geographically concentrated.",Mukuru informal settlement (Nairobi),High,4,2,4,2,5.0
Tier 1,Kenya,EmpServe Kenya,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),1 - Local,https://empserve.org/,"Youth-focused organization delivering entrepreneurship training, financial literacy, and employability programs in Nairobi informal settlements. Good pipeline of early-stage entrepreneurs, though smaller cohort sizes.",Nairobi informal settlements,High,4,2,4,2,4.0
Tier 1,Kenya,Franky’s Foundation,Idea,"NGO, Vocational School",3 - Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),1 - Local,https://frankysfoundation.co.ke/,"Provides vocational training, digital skills, and entrepreneurship pathways for youth and women in Nairobi. Strong skills-to-business pipeline, but relatively small and localized.",Nairobi,Medium,3,2,3,2,3.0
Tier 1,Kenya,Caritas Nairobi,Idea,"NGO, Faith-Based",3 - Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),1 - Local,https://www.caritasnairobi.org/,"Faith-based organization with extensive parish networks across Nairobi supporting livelihoods, savings groups, and microenterprise activities. High trust and community reach make it a strong grassroots sourcing partner.","Nairobi, peri-urban Nairobi communities",High,3,4,3,4,4.0
Tier 1,Kenya,Centre for Enterprise Development & Education,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://cedinnov.org/,"Entrepreneurship training organization providing business skills, SME development, and capacity-building programs. Offers a structured pipeline of trained entrepreneurs, though at moderate scale.",Nairobi,Medium,4,3,4,3,4.0
Tier 1,Kenya,IRC Re:BUILD Program,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://rebuild.rescue.org/about/overview,"Large-scale program supporting urban refugees and host communities with business training, access to capital, and market linkages. Strong pipeline of pre-screened entrepreneurs with high readiness.",Nairobi,High,4,5,4,5,4.0
Tier 1,Kenya,WIDU Kenya,Idea,"INGO, Entrepreneur Support Org",3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://widu.africa/kenya,"Innovative program connecting diaspora funding to local entrepreneurs through matched grants and business training. Entrepreneurs are already capitalized and motivated, though pipeline is geographically distributed.","Nairobi, Mombasa, Kisumu",Medium,3,3,3,3,3.0
Tier 1,Colombia,Bancamía,Idea,MFI,5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.bancamia.com.co/,One of the strongest financial inclusion banks; direct access to large urban microentrepreneur base with strong social mission.,"Bogotá, Cali, Medellín, Barranquilla, Bucaramanga",High,5,5,5,5,3.0
Tier 1,Colombia,Fundación WWB Colombia,Idea,"NGO, Entrepreneur Support Org, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://www.fundacionwwbcolombia.org/,High-quality pipeline of women entrepreneurs through training and financial inclusion; very strong MI fit.,"Cali, Bogotá, Medellín, Barranquilla",High,5,4,5,4,4.0
Tier 1,Colombia,Banco W,Idea,MFI,5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://www.bancow.com.co/,"Large, structured microfinance client base with strong urban reach and good mission alignment.","Cali, Bogotá, Medellín, Barranquilla, Bucaramanga",High,5,5,5,5,4.0
Tier 1,Colombia,Banco Contactar,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://bancocontactar.com/,Strong microenterprise lending with direct access to clients; slightly less urban-focused than top-tier MFIs.,"Pasto, Bogotá, Cali, Popayán",Medium,4,4,4,4,3.0
Tier 1,Colombia,Finamérica,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,http://www.finamerica.com.co/,Solid microenterprise lender with accessible pipeline; somewhat more commercially oriented,"Bogotá, Medellín, Cali, Barranquilla",High,4,4,4,4,3.0
Tier 1,Colombia,Fundación Capital,Idea,"Entrepreneur Support Org, INGO",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://fundacioncapital.org/,Strong financial inclusion programs but indirect pipeline; typically works through partners.,"Bogotá, Barranquilla, Cartagena",Medium,4,4,4,4,4.0
Tier 1,Colombia,Fundación Mario Santo Domingo,Idea,Corporate,3 - Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://fundacionsantodomingo.org/,Runs urban livelihoods programs with access to entrepreneur cohorts; moderately direct pipeline.,"Barranquilla, Cartagena, Bogotá",Medium,3,4,3,4,4.0
Tier 1,Colombia,Fundación Carvajal,Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),3 - National,https://www.fundacioncarvajal.org.co/,Longstanding microenterprise development programs with strong community-based pipelines.,"Cali, Yumbo peri-urban corridor",High,5,4,5,4,5.0
Tier 1,Colombia,Fundación Bolívar Davivienda,Idea,Corporate,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.fundacionbolivardavivienda.org/la-fundacion/,Supports entrepreneurship through structured programs; somewhat indirect but accessible cohorts.,"Bogotá, Medellín, Barranquilla",Medium,3,4,3,4,3.0
Tier 1,Colombia,World Vision Colombia,In Conversation,INGO,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://www.worldvision.org/our-work/country-profiles/colombia,Broad livelihoods programming; pipeline exists but not consistently microenterprise-focused.,"Bogotá, Barranquilla, Medellín",Low,3,4,3,4,3.0
Tier 1,Colombia,Pro Mujer Colombia ,Idea,"INGO, Women-Focused, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),4 - International,https://promujer.org/,Strong alignment with MI model; smaller footprint in Colombia than other countries.,Bogotá,High,4,3,4,3,4.0
Tier 1,Colombia,SENA,Idea,"Entrepreneur Support Org, Government",3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.sena.edu.co/en-us/Pages/sena.aspx,Massive training pipeline feeding into entrepreneurship; indirect but highly scalable.,"Bogotá, Medellín, Cali, Barranquilla, Bucaramanga, Cartagena",High,3,5,3,5,3.0
Tier 1,Colombia,iNNpulsa Colombia,Idea,Government,2 - Fair Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.innpulsacolombia.com/,Focuses on startups and SMEs; less microenterprise-focused and indirect pipeline.,"Bogotá, Medellín, Cali",Medium,2,4,2,4,3.0
Tier 1,Colombia,Bancóldex,Idea,Government,2 - Fair Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.bancoldex.com/,Financial intermediary for SMEs; indirect access through partners.,"Bogotá, Medellín, Cali, Barranquilla",Medium,2,5,2,5,2.0
Tier 1,Colombia,Coomeva,In Conversation,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,http://www.coomeva.com/,Large member-based cooperative with strong trust and access to entrepreneurs,"Cali, Bogotá, Medellín, Pereira",Medium,3,5,3,5,3.0
Tier 1,Colombia,Fondo Nacional del Ahorro,Idea,Government,2 - Fair Fit,2 – Limited Urban Relevance,"5 - Excellent (1,000+)",3 - National,https://www.fna.gov.co/,Focused more on housing/savings; less direct microenterprise pipeline.,"Bogotá, Medellín, Cali",Medium,2,5,2,5,2.0
Tier 1,Colombia,Opportunity International,Idea,INGO,2 - Fair Fit,Unknown,4 - Very Good (500-999),4 - International,https://opportunity.org/our-impact/where-we-work/colombia-facts-about-poverty,Works through partners; indirect but mission aligned.,"Bogotá, Medellín",Low,2,4,2,4,
Tier 1,Colombia,Quipu Bank,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://quipu.com.co/,Parter of Kiva. Smaller but aligned microfinance institution; good niche pipeline.,"Bogotá, Medellín",Low,3,3,3,3,3.0
Tier 1,Colombia,Banco Mundo Mujer,Idea,MFI,5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://www.bmm.com.co/,Strong focus on women entrepreneurs; excellent scale and direct pipeline.,"Popayán, Cali, Bogotá, Medellín",High,5,5,5,5,4.0
Tier 1,Colombia,Crezcamos,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://crezcamos.com/,Strong regional MFI with direct entrepreneur access.,"Bucaramanga, Bogotá, intermediate urban municipalities",Medium,4,4,4,4,3.0
Tier 1,Colombia,Interactuar,Idea,"NGO, Entrepreneur Support Org",5 - Excellent Fit,5 – Highly Urban-Focused,4 - Very Good (500-999),2 - Regional,https://interactuar.org.co/,"One of the best NGO fits; combines training, finance, and mentorship.","Medellín, Aburrá Valley municipalities",High,5,4,5,4,5.0
Tier 1,Colombia,Collective Impulse,Idea,Entrepreneur Support Org,4 - Very Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://www.collectiveimpulse.org/,"Smaller, innovation-focused pipeline of entrepreneurs; high alignment but limited scale.",Medellín,Medium,4,2,4,2,4.0
Tier 1,Colombia,Corporación Emprendedores Colombia,Idea,"Entrepreneur Support Org, NGO",4 - Very Good Fit,4 – Strong Urban Presence,2 - Fair (50-199),2 - Regional,https://www.ecommerceday.co/2016/cec/index.htm,Entrepreneurship support organization with direct access to small cohorts.,"Bogotá, Medellín",Medium,4,2,4,2,4.0
Tier 1,Peru,Mibanco,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.mibanco.com.pe/,Largest microfinance bank in Peru with massive urban reach; strong pipeline but more commercially oriented than top mission-aligned partners.,"Lima, Arequipa, Trujillo, Chiclayo, Piura, Cusco",High,3,5,3,5,3.0
Tier 1,Peru,Caja Arequipa,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.cajaarequipa.pe/,"One of the strongest Cajas with broad urban coverage; reliable, scalable pipeline.","Arequipa, Lima, Cusco, Juliaca, Tacna",High,4,5,4,5,3.0
Tier 1,Peru,Caja Trujillo,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),2 - Regional,https://www.cajatrujillo.com.pe/,Highly relevant for Trujillo; strong local presence and direct access to urban entrepreneurs.,"Trujillo, Chiclayo, Piura, Chimbote",High,4,4,4,4,3.0
Tier 1,Peru,Caja Piura,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.cajapiura.pe/,Strong in northern Peru; good pipeline with slightly less direct urban focus than top-tier partners.,"Piura, Chiclayo, Trujillo, Lima",High,4,5,4,5,3.0
Tier 1,Peru,Compartamos Financiera,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.compartamos.com.pe/,"Strong access to women entrepreneurs but more commercially driven; good pipeline, weaker mission alignment.","Lima, Arequipa, Trujillo, Chiclayo, Piura",Medium,3,5,3,5,3.0
Tier 1,Peru,Financiera Confianza,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://confianza.pe/,Financial inclusion focus with strong urban outreach; good balance of scale and mission.,"Lima, Arequipa, Trujillo, Cusco, Huancayo",High,4,5,4,5,3.0
Tier 1,Peru,CARE Peru,Idea,"INGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),4 - International,https://care.org.pe/,Strong women and livelihoods programming; good pipeline through structured programs.,"Lima, Arequipa, Cusco, peri-urban southern corridor communities",Medium,4,4,4,4,3.0
Tier 1,Peru,World Vision Peru,Idea,INGO,3 - Good Fit,2 – Limited Urban Relevance,4 - Very Good (500-999),4 - International,https://www.wvi.org/peru/about-us,Broad livelihoods work; less consistently focused on microenterprise pipeline.,"Lima outskirts, Trujillo, Chiclayo",Low,3,4,3,4,2.0
Tier 1,Peru,CESAL Peru,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://www.cesal.org/peru,Works with vulnerable populations and employment pathways; accessible cohorts through programs.,"Lima, Arequipa, peri-urban vulnerable communities",Medium,4,3,4,3,3.0
Tier 1,Peru,Pro Mujer (Peru),Idea,"INGO, Women-Focused, Entrepreneur Support Org",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://promujer.org/,"One of the strongest MI-aligned partners; combines finance, training, and direct entrepreneur pipeline.","Lima, Arequipa, Cusco",High,5,4,5,4,4.0
Tier 1,Peru,Movimiento Manuela Ramos,Idea,"NGO, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,3 - Good (200-499),3 - National,https://manuela.org.pe/,Strong grassroots pipeline of women entrepreneurs; highly aligned but smaller scale.,"Lima, Arequipa, Trujillo",High,5,3,5,3,4.0
Tier 1,Peru,FENACREP,Idea,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.fenacrep.org/,Federation of cooperatives; large reach but indirect pipeline through members.,"Lima, Arequipa, Cusco, Piura, Trujillo (through cooperative network members)",Medium,3,5,3,5,3.0
Tier 1,Peru,Alternativa,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,3 - Good (200-499),2 - Regional,https://www.cofide.com.pe/,Urban livelihoods focus in Lima; strong local pipeline.,Lima (especially northern Lima and peri-urban districts),High,4,3,4,3,5.0
Tier 1,Peru,Kallpa,Idea,NGO,3 - Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://www.alternativa.com.pe/,Youth-focused programs; some pipeline but less directly microenterprise-focused.,"Lima, Cusco",Medium,3,2,3,2,3.0
Tier 1,Peru,AVSI Foundation,Idea,INGO,3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://kallpa.org.pe/,Works in livelihoods and development; pipeline depends on specific programs.,"Lima, Trujillo, peri-urban northern coastal communities",Medium,3,3,3,3,3.0
Tier 1,Peru,Caja Huancayo,Idea,MFI,3 - Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.avsi.org/en/what-we-do/countries/peru,Strong MFI with growing urban reach; good pipeline access.,"Huancayo, Lima, Huánuco, Ayacucho, Cusco",High,3,5,3,5,3.0
Tier 1,Peru,Ciudad Saludable,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,5 – Highly Urban-Focused,3 - Good (200-499),3 - National,https://www.cajahuancayo.com.pe/PCM_ProdServicios/PCM_frmSolCredito.aspx?Ori=M&cCodigo=71,Works with waste sector microentrepreneurs in urban areas; niche but strong pipeline.,"Lima, Callao, peri-urban waste-sector communities",High,4,3,4,3,5.0
Tier 1,Peru,COPEME,Idea,Co-op,3 - Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.ciudadsaludable.org/,Network of microenterprise support organizations; indirect but useful aggregator.,"Lima, Arequipa, Trujillo, Cusco (through partner organizations)",Medium,3,4,3,4,3.0
